soru,kategori,cevap,anahtar_kelimeler
"Fazla mesai ücreti nasıl hesaplanır?","Bordro ve Ödemeler","Hafta içi fazla mesai saatlik ücretin %50 fazlasıyla, hafta sonu %100 fazlasıyla, resmi tatillerde %200 fazlasıyla ödenir. Fazla mesai için önceden onay alınması zorunludur. Aylık maksimum 30 saat fazla mesai yapılabilir. Fazla mesai ücreti takip eden ay maaşıyla ödenir.","fazla mesai,mesai ücreti,hafta sonu,resmi tatil,onay süreci"
"Harcırah ödemeleri nasıl yapılır?","Bordro ve Ödemeler","Yurt içi günlük harcırah 350 TL, yurt dışı 100 USD'dir. Konaklama bedelleri fatura karşılığı ödenir. Ulaşım masrafları belge karşılığı ödenir. Harcırah formları seyahat dönüşü 5 iş günü içinde teslim edilmelidir. Ödemeler 10 iş günü içinde yapılır.","harcırah,gündelik,konaklama,ulaşım,masraf formu"
"Esnek çalışma saatleri nasıl uygulanır?","Çalışma Koşulları","Çekirdek çalışma saatleri 10:00-16:00 arasıdır. Bu saatler dışında 07:00-10:00 veya 16:00-19:00 arasında esnek çalışılabilir. Günlük 8 saat çalışma zorunludur. Esnek çalışma için yönetici onayı gerekir. Aylık çalışma saati takibi yapılır.","esnek çalışma,çekirdek saat,çalışma saatleri,yönetici onayı,saat takibi"
"Uzaktan çalışma politikası nedir?","Çalışma Koşulları","Haftada maksimum 3 gün uzaktan çalışılabilir. Pazartesi ve Cuma günleri ofiste bulunma zorunludur. Uzaktan çalışma talebi İK portalından yapılır. VPN bağlantısı ve güvenlik yazılımları zorunludur. Çalışma saatlerinde online erişilebilir olunmalıdır.","uzaktan çalışma,hibrit model,VPN,güvenlik,erişilebilirlik"
"Vardiyalı çalışma düzeni nasıldır?","Çalışma Koşulları","Üretim departmanı 3 vardiya (08-16, 16-24, 24-08) çalışır. Vardiya değişimi 2 haftada bir yapılır. Gece vardiyası primi %25'tir. Vardiya programı ay başında açıklanır. Vardiya değişim talepleri 1 hafta önceden yapılmalıdır.","vardiya,üretim,gece vardiyası,vardiya primi,değişim talebi"
"Part-time çalışma koşulları nelerdir?","Çalışma Koşulları","Part-time çalışanlar günde minimum 4, maksimum 6 saat çalışır. Haftalık çalışma süresi 30 saati geçemez. Yan haklar çalışma süresine orantılı verilir. SGK primleri tam ödenir. Part-time'dan full-time'a geçiş yılda bir kez talep edilebilir.","part-time,yarı zamanlı,çalışma süresi,yan haklar,SGK"
"Ofis düzeni ve çalışma alanları nasıldır?","Çalışma Koşulları","Açık ofis düzeni uygulanır. Her çalışana ergonomik masa ve sandalye tahsis edilir. Sessiz çalışma odaları rezervasyon ile kullanılabilir. Toplantı odaları online sistemden rezerve edilir. Kişisel eşyalar için kilitli dolap sağlanır.","açık ofis,ergonomi,sessiz oda,toplantı odası,kilitli dolap"
"Özel sağlık sigortası kapsamı nedir?","Yan Haklar","Özel sağlık sigortası çalışan, eş ve çocukları kapsar. Yıllık limit 50.000 TL'dir. Anlaşmalı hastanelerde direkt ödeme yapılır. Diş tedavisi yıllık 3.000 TL'ye kadar karşılanır. Gözlük için 2 yılda bir 1.000 TL ödenir. Check-up yılda bir kez ücretsizdir.","sağlık sigortası,kapsam,limit,diş tedavisi,check-up"
"Yemek kartı ve yemek hizmeti nasıl sağlanır?","Yan Haklar","Aylık yemek kartı limiti 1.200 TL'dir. Her ayın 1'inde yüklenir. Şirket kafeteryasında öğle yemeği ücretsizdir. Kahvaltı ve akşam yemeği %50 indirimlidir. Yemek kartı market alışverişlerinde de kullanılabilir.","yemek kartı,kafeterya,ücretsiz yemek,limit,market alışverişi"
"Ulaşım desteği nasıl sağlanır?","Yan Haklar","Servis hizmeti 15 güzergahta sabah-akşam sağlanır. Servis kullanmayanlar için aylık 600 TL ulaşım desteği verilir. Şirket aracı kullananların benzin masrafları karşılanır. Otopark ücreti şirket tarafından ödenir. Taksi masrafları özel durumlarda karşılanır.","servis,ulaşım desteği,benzin,otopark,taksi"
"Telefon ve internet desteği nedir?","Yan Haklar","Yöneticilere kurumsal hat ve telefon verilir. Diğer çalışanlara aylık 200 TL iletişim desteği sağlanır. Evden çalışma günlerinde internet faturası 250 TL'ye kadar karşılanır. Yurt dışı görüşmeler için ek paket tanımlanır.","telefon,kurumsal hat,internet desteği,iletişim,yurt dışı"
"Giyim yardımı nasıl yapılır?","Yan Haklar","Yılda 2 kez (Mart ve Eylül) 1.500 TL giyim yardımı yapılır. Özel giysi gerektiren pozisyonlar için iş kıyafeti şirket tarafından sağlanır. Temizlik ve bakım masrafları karşılanır. Kurumsal etkinlikler için özel kıyafet desteği verilir.","giyim yardımı,iş kıyafeti,temizlik,kurumsal etkinlik,dönemsel ödeme"
"Çocuk yardımı ve kreş desteği var mı?","Yan Haklar","0-6 yaş arası her çocuk için aylık 800 TL kreş yardımı yapılır. Okul çağındaki çocuklar için yılda bir kez 2.000 TL eğitim yardımı verilir. Şirket anlaşmalı kreşlerde %30 indirim sağlanır. Yaz okulu ücretlerinin %50'si karşılanır.","çocuk yardımı,kreş desteği,eğitim yardımı,anlaşmalı kreş,yaz okulu"
"Performans değerlendirme süreci nasıl işler?","Kariyer ve Performans","Performans değerlendirmeleri Ocak ve Temmuz aylarında yapılır. 360 derece değerlendirme yöntemi uygulanır. Hedefler dönem başında belirlenir. Değerlendirme sonuçları maaş artışı ve terfi kararlarında kullanılır. Geri bildirim görüşmeleri zorunludur.","performans değerlendirme,360 derece,hedef belirleme,geri bildirim,değerlendirme dönemi"
"Terfi ve yükselme kriterleri nelerdir?","Kariyer ve Performans","Terfi için minimum 18 ay aynı pozisyonda çalışma şartı vardır. Son 2 performans değerlendirmesi B+ üzeri olmalıdır. Terfi komitesi yılda 2 kez toplanır. İç ilan sistemi ile açık pozisyonlar duyurulur. Yatay geçiş imkanları mevcuttur.","terfi kriterleri,yükselme,performans notu,terfi komitesi,iç ilan"
"Kariyer gelişim programları nelerdir?","Kariyer ve Performans","Yetenek havuzu programı yüksek potansiyelli çalışanlar içindir. Mentorluk programına başvuru yapılabilir. Liderlik gelişim programı yönetici adayları içindir. Rotasyon programı ile farklı departmanlar deneyimlenebilir. Kariyer koçluğu hizmeti sunulur.","yetenek havuzu,mentorluk,liderlik programı,rotasyon,kariyer koçluğu"
"Ödül ve takdir sistemi nasıl çalışır?","Kariyer ve Performans","Ayın çalışanı seçimi yapılır ve 1.000 TL ödül verilir. Yılın çalışanı 5.000 TL ve plaket alır. Proje başarı ödülleri ekip bazında verilir. Öneri sistemi ile kabul edilen öneriler ödüllendirilir. Kıdem ödülleri 5, 10, 15 yılda verilir.","ödül sistemi,ayın çalışanı,yılın çalışanı,proje ödülü,kıdem ödülü"
"İç eğitim programları nelerdir?","Eğitim ve Gelişim","Oryantasyon eğitimi 3 gün sürer ve zorunludur. Teknik eğitimler aylık takvimle planlanır. Soft skill eğitimleri çeyreklik düzenlenir. E-learning platformunda 500+ eğitim mevcuttur. Eğitim talepleri yönetici onayı ile yapılır.","iç eğitim,oryantasyon,teknik eğitim,soft skill,e-learning"
"Dış eğitim ve sertifikasyon desteği nasıl alınır?","Eğitim ve Gelişim","Yılda 2 dış eğitime katılım hakkı vardır. Eğitim bütçesi pozisyona göre 5.000-15.000 TL arasındadır. Sertifikasyon ücretleri %100 karşılanır. Başarısız olunan sertifikalar için 2. hak verilir. Eğitim sonrası 6 ay taahhüt şartı vardır.","dış eğitim,sertifikasyon,eğitim bütçesi,taahhüt,eğitim hakkı"
"Dil eğitimi desteği nasıl sağlanır?","Eğitim ve Gelişim","İngilizce kursu ücreti %80 karşılanır. Online dil platformlarına ücretsiz erişim sağlanır. Yabancı dil tazminatı B2 seviyesi için 500 TL, C1 için 750 TL'dir. Yurt dışı dil eğitimi programları yılda bir kez düzenlenir.","dil eğitimi,İngilizce kursu,dil tazminatı,online platform,yurt dışı eğitim"
"Lisansüstü eğitim desteği var mı?","Eğitim ve Gelişim","MBA ve yüksek lisans programları %50 desteklenir. Doktora programları için %75 destek verilir. Ders saatleri için izin düzenlemesi yapılır. Tez dönemi için ek izin verilebilir. Mezuniyet sonrası 2 yıl çalışma taahhüdü istenir.","lisansüstü,MBA,yüksek lisans,doktora,eğitim desteği"
"İş güvenliği eğitimleri zorunlu mu?","İş Güvenliği ve Sağlık","İş güvenliği temel eğitimi 16 saat olup zorunludur. Yılda bir kez tekrar eğitimi yapılır. Risk değerlendirme eğitimi ilgili personel için zorunludur. İlk yardım eğitimi gönüllülük esasına göredir. Yangın tatbikatlarına katılım zorunludur.","iş güvenliği eğitimi,zorunlu eğitim,risk değerlendirme,ilk yardım,yangın tatbikatı"
"İş kazası durumunda ne yapılmalı?","İş Güvenliği ve Sağlık","İş kazası derhal İSG uzmanına bildirilmelidir. Kaza tutanağı 24 saat içinde doldurulur. Hastaneye sevk gerekirse İK koordine eder. SGK bildirimi 3 iş günü içinde yapılır. Kaza sonrası kök neden analizi yapılır. Gerekli önlemler alınır.","iş kazası,İSG uzmanı,kaza tutanağı,SGK bildirimi,kök neden analizi"
"Sağlık kontrolleri ne zaman yapılır?","İş Güvenliği ve Sağlık","İşe giriş muayenesi zorunludur. Periyodik muayeneler yılda bir yapılır. Ağır ve tehlikeli işlerde 6 ayda bir kontrol yapılır. 40 yaş üstü çalışanlara ek kontroller uygulanır. Muayene sonuçları gizli tutulur ve İK'da saklanır.","sağlık kontrolü,işe giriş muayenesi,periyodik muayene,işyeri hekimi,gizlilik"
"Ergonomi kuralları nelerdir?","İş Güvenliği ve Sağlık","Bilgisayar ekranı göz hizasında olmalıdır. Sandalye bel desteği ayarlanabilir olmalıdır. Her 2 saatte bir 10 dakika ara verilmelidir. Ergonomi eğitimi yılda bir verilir. Ergonomik olmayan durumlar İSG'ye bildirilmelidir.","ergonomi,ekran yüksekliği,bel desteği,çalışma arası,ergonomi eğitimi"
"Acil durum prosedürleri nelerdir?","İş Güvenliği ve Sağlık","Acil durum toplanma alanları belirlenen 3 noktadadır. Tahliye süresi maksimum 3 dakikadır. Acil durum ekipleri her katta görevlidir. Acil durum numaraları tüm telefonlarda kayıtlıdır. Tatbikatlar 6 ayda bir yapılır.","acil durum,toplanma alanı,tahliye,acil durum ekibi,tatbikat"
"İmza yetkileri nasıl belirlenir?","İdari İşlemler","İmza yetkileri unvan bazında İmza Sirküleri'nde belirtilir. 10.000 TL'ye kadar birim müdürü, 50.000 TL'ye kadar genel müdür yardımcısı, üzeri genel müdür onayı gerekir. İmza yetki belgesi İK'dan alınır. Vekalet durumunda yazılı yetkilendirme yapılır.","imza yetkisi,imza sirküleri,onay limiti,vekalet,yetkilendirme"
"Evrak ve belge yönetimi nasıl yapılır?","İdari İşlemler","Tüm belgeler EBYS sisteminde saklanır. Fiziki evraklar 5 yıl arşivlenir. Gizli belgeler özel klasörlerde tutulur. İmha işlemi yılda bir komisyon tarafından yapılır. Belge talepleri sistem üzerinden yapılır.","evrak yönetimi,EBYS,arşiv,gizli belge,imha"
"Araç talep ve rezervasyon nasıl yapılır?","İdari İşlemler","Şirket aracı talepleri 2 gün önceden yapılır. Rezervasyon online sistemden yapılır. Şehir içi kullanımlar için onay gerekmez. Şehir dışı için yönetici onayı gerekir. Araç tesliminde km ve yakıt kontrolü yapılır.","araç talebi,rezervasyon,şirket aracı,onay süreci,km kontrolü"
"Toplantı odası rezervasyonu nasıl yapılır?","İdari İşlemler","Toplantı odaları Outlook takviminden rezerve edilir. Maksimum 4 saat rezervasyon yapılabilir. İptal işlemi 2 saat önceden yapılmalıdır. VIP toplantı odaları için özel onay gerekir. Ekipman talepleri rezervasyonda belirtilir.","toplantı odası,rezervasyon,Outlook,iptal süresi,ekipman"
"Kırtasiye ve ofis malzemesi temini nasıl yapılır?","İdari İşlemler","Kırtasiye talepleri ayda bir toplu yapılır. Talep formu birim yöneticisi onayı gerektirir. Acil talepler için idari işler birimine başvurulur. Kişisel kullanım malzemeleri karşılanmaz. Teslim süresi 3 iş günüdür.","kırtasiye,ofis malzemesi,talep formu,onay,teslim süresi"
"Bilgi güvenliği politikası nedir?","Bilgi Güvenliği","Tüm veriler şifreli saklanmalıdır. Şifreler 3 ayda bir değiştirilmelidir. USB kullanımı IT onayı gerektirir. E-postalar maksimum 25 MB olabilir. Sosyal medyada şirket bilgisi paylaşımı yasaktır. Bilgi güvenliği eğitimi yılda 2 kez verilir.","bilgi güvenliği,şifre politikası,USB kullanımı,veri şifreleme,sosyal medya"
"Veri sızıntısı durumunda ne yapılır?","Bilgi Güvenliği","Veri sızıntısı şüphesi derhal IT ve hukuk birimine bildirilir. Sistem erişimleri geçici olarak durdurulur. Olay kayıt altına alınır ve soruşturma başlatılır. KVKK bildirimi 72 saat içinde yapılır. Etkilenen taraflar bilgilendirilir.","veri sızıntısı,bildirim,IT güvenlik,KVKK,soruşturma"
"Bilgisayar ve yazılım kullanım kuralları nelerdir?","Bilgi Güvenliği","Sadece lisanslı yazılımlar kullanılır. Kişisel yazılım yüklemesi yasaktır. Antivirüs programı zorunludur. Otomatik güncellemeler açık olmalıdır. Bilgisayarlar 10 dakika hareketsizlikte kilitlenir. Yedekleme günlük otomatik yapılır.","yazılım lisansı,antivirüs,güncelleme,otomatik kilit,yedekleme"
"E-posta kullanım kuralları nelerdir?","Bilgi Güvenliği","Kurumsal e-posta sadece iş amaçlı kullanılır. Spam ve phishing mailleri IT'ye bildirilir. Gizli bilgiler şifreli gönderilir. E-posta imzası zorunludur. Toplu mail gönderimleri için onay gerekir. Arşivleme süresi 5 yıldır.","e-posta kuralları,spam,phishing,şifreleme,e-posta imzası"
"Satın alma talep süreci nasıl işler?","Satın Alma Süreçleri","Satın alma talepleri SAP sisteminden açılır. 5.000 TL üzeri için 3 teklif alınır. Teknik şartname hazırlanır. Bütçe kontrolü yapılır. Onay süreci 5 iş günüdür. Sipariş sonrası takip satın alma tarafından yapılır.","satın alma talebi,SAP,teklif alma,teknik şartname,bütçe kontrolü"
"Tedarikçi değerlendirmesi nasıl yapılır?","Satın Alma Süreçleri","Tedarikçiler yılda 2 kez değerlendirilir. Kalite, teslimat, fiyat ve iletişim kriterleri puanlanır. 70 puan altı tedarikçiler uyarılır. 50 puan altı ile çalışma sonlandırılır. Yeni tedarikçiler için referans kontrolü yapılır.","tedarikçi değerlendirme,puanlama,performans kriteri,referans kontrolü,tedarikçi listesi"
"Hizmet alımı prosedürü nedir?","Satın Alma Süreçleri","Hizmet alımları için iş tanımı hazırlanır. Sözleşme hukuk onayından geçer. Performans kriterleri belirlenir. Aylık değerlendirme yapılır. Ceza-ödül sistemi uygulanır. Sözleşme yenileme 2 ay önceden değerlendirilir.","hizmet alımı,iş tanımı,sözleşme,performans kriteri,ceza-ödül"
"Yurt içi seyahat prosedürü nedir?","Seyahat ve Harcırah","Seyahat talebi 5 gün önceden yapılır. Uçak bileti ekonomi sınıfı alınır. Otel rezervasyonu kurumsal anlaşmalı otellerden yapılır. Günlük harcırah 400 TL'dir. Seyahat raporu dönüşte 3 gün içinde verilir.","yurt içi seyahat,uçak bileti,otel rezervasyonu,harcırah,seyahat raporu"
"Yurt dışı seyahat prosedürü nasıldır?","Seyahat ve Harcırah","Yurt dışı seyahat GM onayı gerektirir. Vize işlemleri şirket tarafından yapılır. Seyahat sigortası zorunludur. Günlük harcırah Avrupa için 150 EUR, diğer ülkeler için 120 USD'dir. Döviz avansı verilebilir.","yurt dışı seyahat,GM onayı,vize,seyahat sigortası,döviz avansı"
"Taksi ve özel araç kullanımı nasıl ödenir?","Seyahat ve Harcırah","Taksi kullanımı için fatura zorunludur. Şehir içi taksi ücreti onay gerektirmez. Havaalanı transferleri karşılanır. Özel araç kullanımında km başı 2.5 TL ödenir. Köprü ve otoyol ücretleri fatura karşılığı ödenir.","taksi,özel araç,km ücreti,havaalanı transferi,otoyol ücreti"
"İşe alım süreci nasıl işler?","İşe Alım Süreci","Pozisyon açma talebi birim yöneticisi tarafından yapılır. İlan metni İK tarafından hazırlanır. CV değerlendirmesi 5 iş günü içinde yapılır. Mülakat süreci maksimum 3 aşamadır. Referans kontrolü zorunludur. İşe başlama süresi maksimum 1 aydır.","işe alım,pozisyon açma,CV değerlendirme,mülakat,referans kontrolü"
"İşe alım testleri ve değerlendirmeleri nelerdir?","İşe Alım Süreci","Genel yetenek testi tüm adaylara uygulanır. İngilizce testi ilgili pozisyonlar için zorunludur. Kişilik envanteri uygulanır. Teknik pozisyonlar için case study yapılır. Assessment center yönetici pozisyonları için düzenlenir.","yetenek testi,İngilizce testi,kişilik envanteri,case study,assessment center"
"Stajyer alımı nasıl yapılır?","İşe Alım Süreci","Stajyer alımları yılda 2 dönem yapılır. Üniversite 3. ve 4. sınıf öğrencileri başvurabilir. Staj süresi minimum 20 iş günüdür. Aylık 2.500 TL ücret ödenir. Başarılı stajyerlere iş teklifi yapılabilir.","stajyer,staj programı,staj ücreti,üniversite işbirliği,iş teklifi"
"İç transfer ve rotasyon nasıl yapılır?","İşe Alım Süreci","İç transfer için minimum 1 yıl çalışma şartı vardır. Açık pozisyonlar önce içeriden duyurulur. Yönetici onayı gereklidir. Rotasyon programı 6 ay sürelidir. Maaş ve yan haklar korunur. Başarılı rotasyon kalıcı olabilir.","iç transfer,rotasyon,açık pozisyon,yönetici onayı,kalıcı transfer"
"Disiplin cezaları nelerdir?","Disiplin ve Etik","Sözlü uyarı, yazılı uyarı, ücret kesintisi ve iş akdi feshi cezaları vardır. Disiplin kurulu ayda bir toplanır. Savunma hakkı tanınır. İtiraz süresi 5 iş günüdür. Cezalar personel dosyasında saklanır. Af yetkisi GM'dedir.","disiplin cezası,uyarı,ücret kesintisi,disiplin kurulu,savunma hakkı"
"Etik kurallar ve ihlaller nasıl ele alınır?","Disiplin ve Etik","Etik kurallar el kitabında belirtilmiştir. Hediye alma limiti 100 TL'dir. Çıkar çatışması beyan edilmelidir. Etik hat 7/24 açıktır. İhbarlar gizli tutulur. Etik ihlal soruşturması 15 gün içinde sonuçlandırılır.","etik kurallar,hediye politikası,çıkar çatışması,etik hat,gizlilik"
"Mobbing ve taciz şikayetleri nasıl değerlendirilir?","Disiplin ve Etik","Mobbing şikayetleri doğrudan İK veya etik hatta yapılır. Gizlilik esastır. Bağımsız komisyon tarafından incelenir. Önleyici tedbirler alınır. Psikolojik destek sağlanır. Kanıtlanan vakalar iş akdi feshi ile sonuçlanır.","mobbing,taciz,şikayet mekanizması,gizlilik,psikolojik destek"
"Alkol ve madde kullanımı politikası nedir?","Disiplin ve Etik","İşyerinde alkol ve madde kullanımı kesinlikle yasaktır. Rastgele testler uygulanabilir. Tedavi desteği sağlanır. İlk ihlalde yazılı uyarı, tekrarında iş akdi feshi uygulanır. Şirket etkinliklerinde kontrollü alkol servisi yapılabilir.","alkol politikası,madde kullanımı,test,tedavi desteği,iş akdi feshi"
"Bilgisayar ve telefon tahsisi nasıl yapılır?","Araç ve Ekipman Yönetimi","İşe başlama gününde bilgisayar teslim edilir. Telefon beyaz yaka çalışanlara verilir. Zimmet formu imzalanır. 3 yılda bir yenileme yapılır. Arıza durumunda IT destek sağlar. İşten ayrılışta teslim zorunludur.","bilgisayar tahsisi,telefon,zimmet,yenileme,IT destek"
"Şirket aracı kullanım kuralları nelerdir?","Araç ve Ekipman Yönetimi","Şirket aracı direktör ve üzeri pozisyonlara tahsis edilir. Yakıt kartı limiti aylık 3.000 TL'dir. Özel kullanım için onay gerekir. Kaza ve ceza sorumluluğu kullanıcıdadır. Bakım ve sigorta şirket tarafından yapılır.","şirket aracı,yakıt kartı,özel kullanım,kaza sorumluluğu,bakım"
"Demirbaş ve ekipman yönetimi nasıl yapılır?","Araç ve Ekipman Yönetimi","Demirbaşlar barkod sistemi ile takip edilir. Yıllık sayım yapılır. Transfer işlemleri onay gerektirir. Hurda ayırma komisyon kararı ile yapılır. Kişisel kullanım için ekipman tahsisi yapılmaz.","demirbaş,barkod sistemi,sayım,hurda,transfer"
"Proje başlatma süreci nasıldır?","Proje Yönetimi","Proje önerisi şablon ile sunulur. Fizibilite analizi yapılır. Proje komitesi onayı alınır. Proje yöneticisi atanır. Kick-off toplantısı düzenlenir. Proje planı 1 hafta içinde hazırlanır. Bütçe ve kaynak tahsisi yapılır.","proje başlatma,fizibilite,proje komitesi,kick-off,proje planı"
"Proje takip ve raporlama nasıl yapılır?","Proje Yönetimi","Haftalık durum toplantıları yapılır. Aylık ilerleme raporu hazırlanır. Risk matrisi güncellenir. Milestone'lar takip edilir. Kritik yol analizi yapılır. Dashboard üzerinden anlık takip sağlanır. Sapma analizleri raporlanır.","proje takibi,ilerleme raporu,risk matrisi,milestone,kritik yol"
"Proje kapanış prosedürü nedir?","Proje Yönetimi","Proje kapanış raporu hazırlanır. Lessons learned toplantısı yapılır. Dokümantasyon arşivlenir. Müşteri onayı alınır. Kaynaklar serbest bırakılır. Proje başarı kriterleri değerlendirilir. Ekip performansı puanlanır.","proje kapanışı,lessons learned,dokümantasyon,müşteri onayı,başarı kriteri"
"Müşteri şikayet yönetimi nasıl yapılır?","Müşteri İlişkileri","Şikayetler CRM sistemine kaydedilir. 24 saat içinde geri dönüş yapılır. Çözüm süresi maksimum 5 iş günüdür. Eskalasyon prosedürü 3 aşamalıdır. Müşteri memnuniyeti ölçülür. Aylık şikayet analizi yapılır.","şikayet yönetimi,CRM,geri dönüş süresi,eskalasyon,memnuniyet ölçümü"
"Müşteri ziyaret prosedürü nasıldır?","Müşteri İlişkileri","Müşteri ziyaretleri planlı yapılır. Ziyaret formu doldurulur. Kartvizit ve kurumsal hediye verilir. Toplantı notları CRM'e girilir. Takip aksiyonları belirlenir. Ziyaret raporu 2 gün içinde paylaşılır.","müşteri ziyareti,ziyaret formu,CRM,toplantı notu,takip aksiyonu"
"Müşteri eğitimleri nasıl organize edilir?","Müşteri İlişkileri","Ürün eğitimleri aylık planlanır. Online ve yüz yüze seçenekler sunulur. Eğitim materyalleri hazırlanır. Katılım sertifikası verilir. Eğitim değerlendirmesi yapılır. Eğitim videoları portal'da yayınlanır.","müşteri eğitimi,ürün eğitimi,online eğitim,sertifika,eğitim portalı"
"IT destek talebi nasıl açılır?","Teknik Destek","IT destek talepleri ticket sistemi üzerinden açılır. Acil durumlar için 444 dahili aranır. Öncelik seviyeleri belirlenir. SLA süreleri: kritik 2 saat, yüksek 4 saat, normal 8 saattir. Çözüm bildirimi mail ile yapılır.","IT destek,ticket sistemi,öncelik seviyesi,SLA,çözüm süresi"
"Yazılım lisans yönetimi nasıl yapılır?","Teknik Destek","Tüm lisanslar merkezi sistemde tutulur. Yıllık lisans envanteri çıkarılır. Lisans yenilemeleri 1 ay önceden hatırlatılır. Kullanılmayan lisanslar iptal edilir. Lisans ihlali durumunda disiplin cezası uygulanır.","lisans yönetimi,yazılım lisansı,envanter,yenileme,lisans ihlali"
"Veri yedekleme politikası nedir?","Teknik Destek","Günlük incremental, haftalık full backup alınır. Yedekler 3 farklı lokasyonda saklanır. Yedek testi aylık yapılır. Geri dönüş süresi maksimum 4 saattir. 5 yıllık veri arşivlenir. Kritik veriler anlık replike edilir.","veri yedekleme,backup,incremental,full backup,replikasyon"
